SYSTEM Asteroid Field	;{0} Asteroid Field
ShipMission Description With Distance Attack Prepare Waypoint		;Attack {0} ({2} away, waypoint at {1}, {3} away)
ShipMission Description With Distance Attack Prepare Refuel		;Attack {0} ({2} away, refuel at {1}, {3} away)
ShipMission Description With Distance Blockade		;Blockade {0} ({1} away)
ShipMission Description With Distance Bombard		;Bombard {0} ({1} away)
ShipMission Description With Distance Bombard Prepare		;Prepare and Bombard {0} ({1} away)
ShipMission Description With Distance Bombard Prepare Waypoint		;Bombard {0} ({2} away, waypoint at {1}, {3} away)
ShipMission Description With Distance Bombard Prepare Refuel		;Bombard {0} ({2} away, refuel at {1}, {3} away)
ShipMission Description With Distance Build		;Build {0} ({2}) at {1} ({3} away)
ShipMission Description With Distance BuildRepair		;Build {0} ({1} away)
ShipMission Description With Distance BuildRepair Detailed		;Complete construction of {0} in the {1} system ({3} away)
ShipMission Description With Distance Build Coordinates		;Build {0} ({1}) at these coordinates
ShipMission Description With Distance Capture		;Capture {0} ({1} away)
ShipMission Description With Distance Capture Prepare		;Prepare and Capture {0} ({1} away)
ShipMission Description With Distance Capture Prepare Waypoint		;Capture {0} ({2} away, waypoint at {1}, {3} away)
ShipMission Description With Distance Capture Prepare Refuel		;Capture {0} ({2} away, refuel at {1}, {3} away)
ShipMission Description With Distance Colonize		;Colonize {0} ({1} away)
ShipMission Description With Distance Escape Target		;Escape from {0} ({1} away)
ShipMission Description With Distance Escape Destination		;Escape to {0} ({1} away)
ShipMission Description With Distance Escort		;Escort {0} ({1} away)
ShipMission Description With Distance Explore		;Explore {0} ({1} away)
ShipMission Description With Distance ExploreSystem		;Explore {0} system ({1}, {2} away)
ShipMission Description With Distance ExploreLocation		;Explore {0} location ({1}, {2} away)
ShipMission Description With Distance ExploreSurvey		;Survey {0} ({1} away)
ShipMission Description With Distance FighterBoardCarrier		;Board carrier {0} ({1} away)
ShipMission Description With Distance Guard		;Guard {0} ({1} away)
ShipMission Description With Distance LoadTroops		;Load troops at {0} ({1} away)
ShipMission Description With Distance LoadPopulation		;Load colonists at {0} ({1} away)
ShipMission Description With Distance LoadPopulation RACE		;Load colonists at {0} ({1}, {2} away)
ShipMission Description With Distance LoadCargo		;Load fuel at {0} ({1} away)
ShipMission Description With Distance TransferFuel		;Transfer fuel to {0} ({1} away)
ShipMission Description With Distance Mine		;Mine {0} ({2} away), offload at {1} ({3} away)
ShipMission Description With Distance MineLoad		;Mine fuel at {0} ({1} away)
ShipMission Description With Distance Move		;Move to {0} ({1} away)
ShipMission Description With Distance Move Coordinates		;Move to {0}, {1} ({2} away)
ShipMission Description With Distance Patrol		;Patrol {0} ({1} away)
ShipMission Description With Distance Pickup		;Pick up {0} ({1} away)
ShipMission Description With Distance Raid		;Raid {0} ({1} away)
ShipMission Description With Distance Raid Prepare		;Prepare and Raid {0} ({1} away)
ShipMission Description With Distance Raid Prepare Waypoint		;Raid {0} ({2} away, waypoint at {1}, {3} away)
ShipMission Description With Distance Raid Prepare Refuel		;Raid {0} ({2} away, refuel at {1}, {3} away)
ShipMission Description With Distance Refuel		;Refuel at {0} ({1} away)
ShipMission Description With Distance Repair		;Repair at {0} ({1} away)
ShipMission Description With Distance Retire Target		;Retire at {0} ({1} away)
ShipMission Description With Distance Retrofit		;Retrofit at {0} ({1} away)
ShipMission Description With Distance Retrofit With Design		;Retrofit to {1} at {0} ({2} away)
ShipMission Description With Distance Scout		;Scout {0} ({1} away)
ShipMission Description With Distance Scrap		;Scrap at {0} ({1} away)
ShipMission Description With Distance Transport		;Transport cargo from {0} ({2} away) to {1} ({3} away)
ShipMission Description With Distance Transport Passengers		;Transport passengers from {0} ({2} away) to {1} ({3} away)
ShipMission Description With Distance Transport Migrants		;Transport migrants from {0} ({2} away) to {1} ({3} away)
ShipMission Description With Distance Transport Tourists		;Transport tourists from {0} ({2} away) to {1} ({3} away)
ShipMission Description With Distance UnloadTroops		;Unload troops at {0} ({1} away)
ShipMission Description With Distance UnloadPassengers		;Unload passengers at {0} ({1} away)

SYSTEMNAME system		;{0} system
Quality		;Quality

We have raided TARGET of the EMPIRE but failed to obtain any loot		;We have raided [LOCATION]{0}[/LOCATION] of the [FACTION]{1}[/FACTION] but failed to obtain any loot
The EMPIRE have raided our base TARGET but failed to obtain any loot		;The [FACTION]{0}[/FACTION] have raided our base [LOCATION]{1}[/LOCATION] but failed to obtain any loot
The EMPIRE have raided our colony TARGET but failed to obtain any loot		;The [FACTION]{0}[/FACTION] have raided our colony [LOCATION]{1}[/LOCATION] but failed to obtain any loot
X credits		;{0} credits
Research breakthrough in PROJECT		;Research breakthrough in {0}
Improved our understanding of PROJECT		;Improved our understanding of {0}
We have raided base TARGET of the EMPIRE and pillaged the following FAIL		;We have raided the base [LOCATION]{0}[/LOCATION] of the [FACTION]{1}[/FACTION]! Fierce defense forced us to withdraw, but not before we managed to pillage the following loot: {2}
We have raided base TARGET of the EMPIRE and pillaged the following		;We have raided the base [LOCATION]{0}[/LOCATION] of the [FACTION]{1}[/FACTION]! In our successful raid we have pillaged the following loot: {2}
We have raided colony TARGET of the EMPIRE and pillaged the following		;We have raided the colony [LOCATION]{0}[/LOCATION] of the [FACTION]{1}[/FACTION]! In our successful raid we have pillaged the following loot: {2}.\n\nOur raid has also boosted our control of this colony, further increasing our income
We have raided colony TARGET of the EMPIRE and pillaged the following FAIL		;We have raided the colony [LOCATION]{0}[/LOCATION] of the [FACTION]{1}[/FACTION]! Fierce defense forced us to withdraw, but not before we managed to pillage the following loot: {2}
The EMPIRE have raided our base TARGET and stolen the following		;The [FACTION]{1}[/FACTION] have raided our base [LOCATION]{0}[/LOCATION]! In the raid they looted the following: {2}
The EMPIRE have raided our colony TARGET and stolen the following		;The [FACTION]{1}[/FACTION] have raided our colony [LOCATION]{0}[/LOCATION]! In the raid they looted the following: {2}
The EMPIRE have raided our base TARGET causing widespread death and destruction		;The [FACTION]{1}[/FACTION] has raided our base [LOCATION]{0}[/LOCATION], consuming all they could find. As a result they have grown stronger and more powerful
The EMPIRE have raided our colony TARGET causing widespread death and destruction		;The [FACTION]{1}[/FACTION] has raided our colony [LOCATION]{0}[/LOCATION] causing widespread death and destruction, consuming all in their path. As a result they have grown stronger and more powerful
Our ship X has been boarded and captured		;Our {0} [LOCATION]'{1}'[/LOCATION] has been boarded and captured by the [FACTION]{2}[/FACTION]!
BASE has been boarded and captured		;[LOCATION]{0}[/LOCATION] has been boarded and captured by the [FACTION]{1}[/FACTION]!
We have boarded and captured the ship X		;We have boarded and captured the ship [LOCATION]'{0}'[/LOCATION] of the [FACTION]{1}[/FACTION]!
We have boarded and captured BASE		;We have boarded and captured [LOCATION]{0}[/LOCATION] of the [FACTION]{1}[/FACTION]!
Captured Base Scrapped		;Captured Base Scrapped
Captured Ship Scrapped		;Captured Ship Scrapped
Captured Base Scrapped Description		;In keeping with our empire policy, we have immediately scrapped the captured base [LOCATION]{0}[/LOCATION] in-place for a money bonus of {1} credits
Captured Ship Scrapped Description		;In keeping with our empire policy, we have immediately scrapped the captured ship [LOCATION]{0}[/LOCATION] in-place for a money bonus of {1} credits

During our recent conquest of COLONY we acquired the following		;During our recent conquest of [LOCATION]{0}[/LOCATION] from the [FACTION]{1}[/FACTION] we acquired the following: {2}
During the recent conquest of COLONY EMPIRE acquired the following		;During the recent conquest of our colony [LOCATION]{0}[/LOCATION] by the [FACTION]{1}[/FACTION] they managed to acquire the following from us: {2}
Tech Acquired in Conquest		;Tech Acquired in Conquest
Tech Stolen in Conquest		;Tech Stolen in Conquest

Ancient Ruins		;Ancient Ruins
Recruiting TROOPNAME		;Recruiting {0}
Garrisoned		;Garrisoned
complete		;complete
Under Construction		;Under Construction
Size		;Size
Click for details		;Click for details
Click to select		;Click to select
Click to select mission target		;Click to select mission target
Double-click to select		;Double-click to select
Double-click for options		;Double-click for options
Double-click for details		;Double-click for details

Abandoned		;Abandoned
Abandoned Ship		;Abandoned Ship
Abandoned Base		;Abandoned Base
Design		;Design
Fuel		;Fuel
Energy		;Energy
Shields		;Shields
Speed		;Speed
Weapons		;Weapons
Health		;Health
Max DPS		;Max DPS
Range		;Range
Avg DPS		;Avg DPS
Min DPS		;Min DPS
Fighters		;Fighters
Building		;Building
waiting		;waiting
Docked		;Docked
Awaiting Construction		;Awaiting Construction
Onboard		;Onboard
Components		;Components
destroyed		;destroyed
disabled		;disabled
All components normal		;All components normal
Fleet		;Fleet

Star		;Star
Planet		;Planet
Moon		;Moon
Asteroid		;Asteroid

Population		;Population
Others		;Others
Total		;Total
Resources		;Resources
Development		;Development
Approval		;Approval
Revenue		;Revenue
Base Revenue		;Base Revenue
Support Costs		;Support Costs
Corruption		;Corruption
Corruption Losses		;Corruption Losses
Diameter		;Diameter
X% of empire		;{0} of empire
Tax		;Tax
Facilities		;Facilities
Support Costs Explanation		;Colonies cost money to support. As they grow their tax revenue \nwill exceed their support costs, providing funding for your empire. \nBut when colonies are small and undeveloped they are a net drain \non your economy.\n\nThe following factors increase colony support costs:\n- population less than 100 million\n- suitability for population less than 20\n- unassimilated population\n- population above 50% of maximum

The inhabitants of COLONY are FEELING with you		;The inhabitants of {0} are {1}
happy		;happy
satisfied		;satisfied
unhappy		;unhappy
angry		;angry

Our colony has a very high level of development		;Our colony has a very high level of development
Our colony has a high level of development		;Our colony has a high level of development
Our colony has a reasonable level of development		;Our colony has a reasonable level of development
Our colony is developing		;Our colony is developing
Our colony is mostly undeveloped		;Our colony is mostly undeveloped
We approve of the current tax rate		;We approve of the current tax rate
The current tax rate is too high!		;The current tax rate is too high!
We are happy that our empire is at peace		;We are happy that our empire is at peace
We tire of our empire's wars		;We tire of our empire's wars
We have no cultural distress		;We have no cultural distress
We are in awe of nearby colonies of other empires		;We are in awe of nearby colonies of other empires
We are proud of our empire's good reputation		;We are proud of our empire's good reputation
We are concerned about our empire's poor reputation		;We are concerned about our empire's poor reputation
We have no racial unhappiness		;We have no racial unhappiness
RACE are unhappy being part of our RACE empire		;{0}s are unhappy being part of our {1} empire
You are not at war with empires of our race		;You are not at war with empires of our race
RACE are upset that we are at war with their species		;{0}s are upset that we are at war with their species
We enjoy our colony's high quality environment		;We enjoy our colony's high quality environment
We are unhappy with our colony's low quality environment		;We are unhappy with our colony's low quality environment
We are angry at the recent conquest of our colony		;We are angry at the recent conquest of our colony
Raid Unhappiness Description		;We are terrified by recent pirate raids against our colony
Unrest Description		;Dissidents have stirred up unrest at our colony causing widespread rioting and chaos
We have some unassimilated population		;We have some unassimilated population
Our colony's environment has been ravaged by destruction		;Our colony's environment has been ravaged by destruction
We enjoy living at our empire's capital		;We enjoy living at our empire's capital
Ongoing events have reduced our happiness		;Ongoing events have reduced our happiness
Ongoing events have improved our happiness		;Ongoing events have improved our happiness
Recreation facilities increase our happiness		;Recreation facilities increase our happiness
Medical facilities increase our happiness		;Medical facilities increase our happiness

Ship Automation Description		;Current: {0}, Next: {1}
Ship Automation Manual		;Manually Control
Ship Automation AutoGuard		;Auto-Guard
Ship Automation AutoPatrol		;Auto-Patrol
Ship Automation AutoEscort		;Auto-Escort
Ship Automation AutoRaid		;Auto-Raid
Ship Automation AutoExplore		;Auto-Explore
Ship Automation AutoScout		;Auto-Scout Systems
Ship Automation AutoSpy		;Auto-Spy on Enemies
Ship Automation AutoMigration		;Auto-Migration
Ship Automation AutoTourism		;Auto-Tourism
Ship Automation AutoBuildMiningStations		;Auto-Build Mining Stations
Ship Automation AutoBuildResearchStations		;Auto-Build Research Stations
Ship Automation AutoBuildMonitoringStations		;Auto-Build Monitoring Stations
Ship Automation AutoBuildResortBases		;Auto-Build Resort Bases
Ship Automation AutoSalvageShips		;Auto-Salvage
Ship Automation FullyAutomate		;Fully Automate

GameTaskType AssignCharacterMission		;
GameTaskType QueueBase		;Build {0} ({1}) at {2} for {3} credits
GameTaskType QueueBase Constructor		;Send {4} to build {0} ({1}) at {2} for {3} credits
GameTaskType QueueRepairInvestigate		;Repair and Investigate {0} ({1})
GameTaskType QueueColonize		;Build Colony ship and colonize {0}
GameTaskType CancelQueueBase		;Cancel building {0} at {1}
GameTaskType CancelQueueRepairInvestigate		;Cancel repairing and investigating {0} ({1})
GameTaskType CancelQueueColonize		;Cancel colonizing {0}
GameTaskType QueueAttackTarget		;Queue Attack against {0}
GameTaskType CancelQueueAttackTarget		;Cancel Attack against {0}
GameTaskType QueueClearDangerousLocation		;Queue threat investigation and clearance at {0}
GameTaskType CancelQueueClearDangerousLocation		;Cancel threat investigation and clearance at {0}
GameTaskType BuildPlanetaryFacility		;Build {0} at {1} for {2} credits
GameTaskType BuildShips		;Build ships at {0} for {1} credits
GameTaskType BuildShips List		;Build ships at {0} for {1} credits:\n{2}
GameTaskType BuildShips Single		;Build {0} ({1}) at {2} for {3} credits
GameTaskType BuildShips Single Anywhere		;Build {0} ({1}) for {2} credits
GameTaskType BuildShips Single Short		;Build {0} for {1} credits
GameTaskType BuildShips Single Short ROLE		;Build {0} ({2}) for {1} credits
GameTaskType BuildShips Anywhere		;Build ships for {0} credits
GameTaskType BuildShips Anywhere List		;Build ships for {0} credits:\n{1}
GameTaskType BuildShips Single Multiple Designs		;Build {0} from selected design

GameTaskType BuildShips Multiple Designs		;Multiple {0} designs available - click to select
GameTaskType TransferTroopToShip Multiple		;Transfer {0} to nearby transport - click to select

X x ROLE (DESIGN)		;{0} x {1} ({2})
GameTaskType ColonyTaxUp		;Increase tax rate at {0} to {1}%
GameTaskType ColonyTaxDown		;Decrease tax rate at {0} to {1}%
GameTaskType CreateNewFleet		;Create new fleet with these ships
GameTaskType DiplomaticCancelTreaty		;Cancel {0} with {1}
GameTaskType DiplomaticDeclareWar		;Declare War on {0}
GameTaskType DiplomaticGift		;Give {0} credits to {1}
GameTaskType DiplomaticTreatyOffer		;Offer {0} to {1}
GameTaskType DiplomaticTreatyOffer ResourceSupply		;Offer contract to supply {0} to {1}
GameTaskType DisbandFleet		;Disband fleet ({0})
GameTaskType DisbandTroop		;Disband troop unit ({0})
GameTaskType DisbandTroop Multiple		;Disband troops
GameTaskType ScrapShip		;Scuttle {0}
GameTaskType ScrapShips		;Scuttle Ships
GameTaskType FighterBuildFighter		;Build {0} ({1})
GameTaskType FighterLaunchFighters		;Launch all {0}s from {1}
GameTaskType FighterRetrieveFighters		;Retrieve all {0}s for {1}
GameTaskType FighterUpgradeAll		;Upgrade all fighters to latest designs ({0})
GameTaskType GenerateCharacter		;
GameTaskType GiveShip		;Gift {0} to {1}
GameTaskType CancelShipConstruction		;Cancel construction of {0} at {1}
GameTaskType InfluenceForeignColony		;
GameTaskType InitateContract		;
GameTaskType InitiateCrashResearch		;Initiate crash research project in {0}
GameTaskType InvestigateRuins		;Investigate {0}
GameTaskType InvestigateShip		;Investigate {0}
GameTaskType ChangeArtifactLocation		;Immediately move {0} to {1}
GameTaskType TransferArtifact		;Transfer {0} to {1}
GameTaskType TransferTroopToShip		;Transfer {0} to {1}
GameTaskType JoinFleet		;Join ship {0} to fleet ({1})
GameTaskType JoinFleet None		;Join ship {0} to fleet
GameTaskType JoinFleetMultiple		;Join ships to fleet
GameTaskType JoinFleetMultiple Specific		;Join ships to fleet ({0})
GameTaskType LeaveFleet		;Leave fleet ({0})
GameTaskType OrderResource		;
GameTaskType PerformExpense		;
GameTaskType PerformIncome		;
GameTaskType RecruitTroops Maintenance		;Recruit {0} ({1}) at {2} for {3} (Maintenance: {4} credits)
GameTaskType RecruitTroops Maintenance Cloned		;Clone {0} ({1}) at {2} for {3} (Maintenance: {4} credits)
GameTaskType RecruitTroops		;Recruit {0} ({1}) at {2} for {3}
GameTaskType RecruitTroops Cloned		;Clone {0} ({1}) at {2} for {3}
GameTaskType RefuelAndRepair		;Refuel and Repair
GameTaskType RefuelAndRepair Location		;Refuel and Repair at {0}
GameTaskType RemoveCharacter		;
GameTaskType RemoveDesign		;
GameTaskType RetrofitShip No Design		;Retrofit to latest design
GameTaskType RetrofitShip		;Retrofit to latest design ({0} ({1})) for {2} credits
GameTaskType RetrofitShip Short		;Retrofit to {0} ({1}) for {2} credits
GameTaskType RetrofitShip Location		;Retrofit to latest design ({0} ({1})) at {2} for {3} credits
GameTaskType RetrofitShip Multiple Designs		;Retrofit to selected design
GameTaskType RetrofitMultipleShips		;Retrofit ships to latest designs
GameTaskType RetrofitMultipleShips Location		;Retrofit ships to latest designs at {0}
GameTaskType RetrofitFleet		;Retrofit fleet to latest designs
GameTaskType RetrofitFleet Location		;Retrofit fleet to latest designs at {0}
GameTaskType RetireMultipleShips		;Retire ships
GameTaskType TopupFleet		;Top up fleet with ships
GameTaskType HonorDefenseTreaty		;Honor Defense Treaty
GameTaskType DishonorDefenseTreaty		;Dishonor Defense Treaty
GameTaskType ScrapPlanetaryFacility		;Scrap {0} at {1}
GameTaskType SetAsFleetLeadShip		;Set ship {0} as lead for fleet ({1})
GameTaskType SetAttackRangeWeaker		;Attack stance against weaker targets: {0}
GameTaskType SetAttackRangeStronger		;Attack stance against stronger targets: {0}
GameTaskType SetFleetStance		;Attack stance: {0}
GameTaskType SetFleetTemplate		;Fleet Template: {0}
GameTaskType SetArmyTemplate		;Army Template: {0}
GameTaskType SetFleetFormationCoherence		;Formation: {0}
GameTaskType SetFleetAllowShipRoleReassignment			;Fleet Ship Position Reassignment: {0}
GameTaskType SetFleetOverrideShipTacticsWithFleet		;Tactics - Use Fleet or Ship: {0}
GameTaskType SetFleetAllowShipRoleUpgrade			;Ship Role Up/Downgrade: {0}
GameTaskType SetFleetAllowTrimmingExcessShips			;Trim Excess Ships: {0}
GameTaskType SetFleetAllowAutoUpgradingSpecificDesigns			;Auto-Upgrade Obsolete Specific Designs: {0}
GameTaskType SetCapital		;Set {0} as new empire capital
GameTaskType AbandonColony		;Abandon {0}, allowing it to become independent
GameTaskType SetColonyPopulationPolicy		;
GameTaskType SetDiplomaticStrategy		;
GameTaskType SetEngagementRange		;Engagement range: {0}
GameTaskType SetEngagementRange Fleet		;Fleet Engagement range: {0}
GameTaskType SetFleetAttackPoint		;Set attack point for {0} to {1}
GameTaskType SetFleetHomeBase		;Set home base for {0} to {1}
GameTaskType SetFleetRetreatOverwhelmed		;Fleet should retreat when: {0}
GameTaskType SetFleetRetreatStrength		;Fleet should retreat when: {0}
GameTaskType SetFleetRole		;Fleet Role: {0}
GameTaskType SetInvasionTactics		;Invade colonies: {0}
GameTaskType SetResearchQueue		;
GameTaskType SetShipAutomation		;Ship automation: {0}
GameTaskType SetShipRetreatOptions		;Retreat when: {0}
GameTaskType SetShipRoleInFleet		;Position within fleet: {0}
GameTaskType SetStockLevel		;
GameTaskType SetTargetStickinessFactor		;
GameTaskType SetTroopGarrison		;Garrison troop {0}
GameTaskType SetTroopUngarrison		;Ungarrison troop {0}
GameTaskType SetTroopGarrison Multiple		;Garrison troops
GameTaskType SetTroopUngarrison Multiple		;Ungarrison troops
GameTaskType TradeItems		;
GameTaskType TransferCharacter		;
GameTaskType UI_ChangeZoom		;
GameTaskType UI_ColonyBuildFacility		;Build facilities at {0}
GameTaskType UI_GotoLocation		;
GameTaskType UI_MoveView		;
GameTaskType UI_ReturnToTop		;Return to Top
GameTaskType UI_ShowBuildOptions		;Build new ship or base
GameTaskType UI_ShowFighterOptions		;Manage Fighters
GameTaskType UI_NextTasks		;Next
GameTaskType UI_PreviousTasks		;Previous
GameTaskType UI_ShowCharacterMissionOptions		;Character Missions
GameTaskType UI_ShowTacticsOptions		;Set Tactics
GameTaskType UI_ShowColonyAutomationOptions		;Set Colony Automation
GameTaskType UI_ColonyDetailScreen		;Show Colony Detail Screen
GameTaskType UI_ShowTroopOptions		;Manage Troops
GameTaskType UpdateShipDesign		;
GameTaskType UpgradePlanetaryFacility		;Upgrade {0} to {1} for {2} credits

GameTaskType Short AssignCharacterMission		;Assign Mission
GameTaskType Short AssignFleetMission		;Assign Mission
GameTaskType Short AssignShipMission		;Assign Mission
GameTaskType Short ClearShipMission		;Stop
GameTaskType Short QueueBase		;Build Base
GameTaskType Short QueueRepairInvestigate		;Repair and Investigate Ship or Base
GameTaskType Short QueueColonize		;Colonize {0}
GameTaskType Short CancelQueueBase		;Cancel Building Base
GameTaskType Short CancelQueueRepairInvestigate		;Cancel Repair and Investigate
GameTaskType Short CancelQueueColonize		;Cancel Colonizing
GameTaskType Short QueueAttackTarget		;Queue Attack
GameTaskType Short CancelQueueAttackTarget		;Cancel Attack
GameTaskType Short QueueClearDangerousLocation		;Queue Clear Dangerous Location
GameTaskType Short CancelQueueClearDangerousLocation		;Cancel Clear Dangerous Location
GameTaskType Short BuildPlanetaryFacility		;Build {0}
GameTaskType Short BuildShips		;Build Ships
GameTaskType Short BuildShips Single		;Build Ship
GameTaskType Short BuildShips Base		;Build Base
GameTaskType Short BuildShips Anywhere		;Build Ships
GameTaskType Short ColonyTaxUp		;Increase Colony Tax Rate
GameTaskType Short ColonyTaxDown		;Decrease Colony Tax Rate
GameTaskType Short CreateNewFleet		;Create New Fleet
GameTaskType Short DiplomaticCancelTreaty		;Cancel Treaty
GameTaskType Short DiplomaticDeclareWar		;Declare War
GameTaskType Short DiplomaticGift		;Accept Gift
GameTaskType Short DiplomaticGift Offer		;Offer Gift
GameTaskType Short DiplomaticTreatyOffer		;Accept Treaty
GameTaskType Short DiplomaticTreatyOffer Offer		;Offer Treaty
GameTaskType Short DiplomaticTreatyOffer ResourceSupply		;Offer Supply Contract
GameTaskType Short DisbandFleet		;Disband Fleet
GameTaskType Short DisbandTroop		;Disband Troop
GameTaskType Short DisbandTroop Multiple		;Disband Troops
GameTaskType Short ScrapShip		;Scuttle Ship
GameTaskType Short ScrapShips		;Scuttle Ships
GameTaskType Short FighterBuildFighter		;Build Fighter
GameTaskType Short FighterLaunchFighters		;Launch All Fighters
GameTaskType Short FighterRetrieveFighters		;Retrieve All Fighters
GameTaskType Short FighterUpgradeAll		;Upgrade All Fighters
GameTaskType Short GenerateCharacter		;Generate Character
GameTaskType Short GiveShip		;Gift Ship
GameTaskType Short CancelShipConstruction		;Cancel Construction
GameTaskType Short InfluenceForeignColony		;Influence Colony
GameTaskType Short InitateContract		;Initiate Contract
GameTaskType Short InitiateCrashResearch		;Initiate Crash Research
GameTaskType Short InvestigateRuins		;Investigate {0}
GameTaskType Short InvestigateShip		;Investigate {0}
GameTaskType Short InvestigateShip Board		;Board {0}
GameTaskType Short TransferArtifact		;Transfer {0} to {1}
GameTaskType Short ChangeArtifactLocation		;Immediately move {0} to {1}
GameTaskType Short TransferTroopToShip		;Transfer {0} to {1}
GameTaskType Short JoinFleet		;Join Fleet
GameTaskType Short JoinFleet None		;Join Fleet
GameTaskType Short LeaveFleet		;Leave Fleet
GameTaskType Short OrderResource		;Order Resource
GameTaskType Short PerformExpense		;Expense
GameTaskType Short PerformIncome		;Income
GameTaskType Short RecruitTroops		;Recruit Troops
GameTaskType Short RefuelAndRepair		;Refuel and Repair
GameTaskType Short RefuelAndRepair Location		;Refuel and Repair
GameTaskType Short RemoveCharacter		;Remove Character
GameTaskType Short RemoveDesign		;Remove Design
GameTaskType Short RetrofitShip No Design		;Retrofit
GameTaskType Short RetrofitShip		;Retrofit
GameTaskType Short RetrofitShip Location		;Retrofit
GameTaskType Short RetrofitMultipleShips		;Retrofit Ships
GameTaskType Short RetrofitMultipleShips Location		;Retrofit Ships
GameTaskType Short RetrofitFleet		;Retrofit Fleet
GameTaskType Short RetrofitFleet Location		;Retrofit Fleet
